"country","density","agricultural_land_percent","land_area_km2","birth_rate","capital","co2_emissions","cpi","cpi_change_percent","fertility_rate","forested_area_percent","gdp","gross_primary_education_enrollment_percent","gross_tertiary_education_enrollment_percent","infant_mortality","life_expectancy","maternal_mortality_ratio","official_language","health_expenditure_oop","physicians_per_thousand","population","labor_force_percent","urban_population","latitude","longtitude","region"
"Estonia",31,23.1,45228,10.9,"Tallinn",16590,122.14,2.3,1.59,51.3,31386949981,97.2,69.6,2.1,78.2,9,"Estonian",22.8,4.48,1331824,63.6,916024,58.595272,25.013607,"Europe & Central Asia"
"Ethiopia",115,36.3,1104300,32.34,"Addis Ababa",14870,143.86,15.8,4.25,12.5,96107662398,101,8.1,39.1,66.2,401,"Amharic",37.8,0.08,112078730,79.6,23788710,9.145,40.489673,"Sub-Saharan Africa"
"Fiji",49,23.3,18274,21.28,"Suva",2046,132.3,1.8,2.77,55.9,5535548972,106.4,16.1,21.6,67.3,34,"Fiji Hindi",21.4,0.84,889953,57.6,505048,-17.713371,178.065032,"East Asia & Pacific"
"Finland",18,7.5,338145,8.6,"Helsinki",45871,112.33,1,1.41,73.1,2.69e+11,100.2,88.2,1.4,81.7,3,"Swedish",19.9,3.81,5520314,59.1,4716888,61.92411,25.748151,"Europe & Central Asia"
"France",119,52.4,643801,11.3,"Paris",303276,110.05,1.1,1.88,31.2,2.72e+12,102.5,65.6,3.4,82.5,8,"French",6.8,3.27,67059887,55.1,54123364,46.227638,2.213749,"Europe & Central Asia"
"Gabon",9,20,267667,31.61,"Libreville",5321,122.19,2.1,3.97,90,16657960228,139.9,8.3,32.7,66.2,252,"French",25.9,0.68,2172579,52.9,1949694,-0.803689,11.609444,"Sub-Saharan Africa"
"The Gambia",239,59.8,11300,38.54,"Banjul",532,172.73,7.1,5.22,48.4,1763819048,98,2.7,39,61.7,597,"English",20.3,0.1,2347706,59.4,1453958,13.443182,-15.310139,"Sub-Saharan Africa"
"Georgia",57,34.5,69700,13.47,"Tbilisi",10128,133.61,4.9,2.06,40.6,17743195770,98.6,63.9,8.7,73.6,25,"Georgian",57.3,7.12,3720382,68.3,2196476,42.315407,43.356892,"Europe & Central Asia"
"Germany",240,47.7,357022,9.5,"Berlin",727973,112.85,1.4,1.56,32.7,3.85e+12,104,70.2,3.1,80.9,7,"German",12.5,4.25,83132799,60.8,64324835,51.165691,10.451526,"Europe & Central Asia"
"Ghana",137,69,238533,29.41,"Accra",16670,268.36,7.2,3.87,41.2,66983634224,104.8,15.7,34.9,63.8,308,"English",36.1,0.14,30792608,67.8,17249054,7.946527,-1.023194,"Sub-Saharan Africa"
"Greece",81,47.6,131957,8.1,"Athens",62434,101.87,0.2,1.35,31.7,2.1e+11,99.6,136.6,3.6,81.3,3,"Greek",35.5,5.48,10716322,51.8,8507474,39.074208,21.824312,"Europe & Central Asia"
"Guatemala",167,36,108889,24.56,"Guatemala City",16777,142.92,3.7,2.87,32.7,76710385880,101.9,21.8,22.1,74.1,95,"Spanish",55.8,0.35,16604026,62.3,8540945,15.783471,-90.230759,"Latin America & Caribbean"
"Guinea",53,59,245857,36.36,"Conakry",2996,262.95,9.5,4.7,25.8,13590281809,91.5,11.6,64.9,61.2,576,"French",54.5,0.08,12771246,61.5,4661505,9.945587,-9.696645,"Sub-Saharan Africa"
"Guinea-Bissau",70,58,36125,35.13,"Bissau",293,111.65,1.4,4.48,69.8,1340389411,118.7,2.6,54,58,667,"Portuguese",37.2,0.13,1920922,72,840922,11.803749,-15.180413,"Sub-Saharan Africa"
